userName,score,content,at,thumbsUpCount
Rokib Ahammod,5,good service 😊,2026-03-04 00:25:35,0
Fimnas Km,5,Good,2026-03-04 00:09:38,0
Nasra Mohamed,5,mashaallah it's not hard to order 😘,2026-03-03 23:52:33,0
Rajib Rashid,5,good apps for KSA,2026-03-03 23:20:35,0
Md salam,5,very nice noon,2026-03-03 23:03:00,0
Eyasus Koo,5,thank 😊,2026-03-03 22:53:47,0
Maj Daa,5,❤️❤️,2026-03-03 22:51:10,0
Jakir Hossain,5,thank you,2026-03-03 22:06:47,0
Yaseen Alhendi,2,كان المفروض التوصيل الليلة، بعد الدفع تغير التوصيل للبكره,2026-03-03 21:59:34,0
Sonu kumar Mandal,4,good,2026-03-03 21:33:08,0
Delowar hossain,5,"I use noon first time, if noon give good service and give good quality product. i will stay with noon long time.",2026-03-03 21:31:54,0
Ahmed A,5,"we love shopping on Noon, Quality product, services and support. Hassle free Returns.",2026-03-03 21:30:51,0
M syed Wajid Syed,5,Good service,2026-03-03 21:21:22,0
Md Shorab,5,good,2026-03-03 20:32:57,0
Ibrahim Elsayad,3,يظهر امامى اكواد خصم يتم ادخالها وعند الدفع لاتطبق ممكن يكون ليها شروط وانا غير فاهم بشكل كافى,2026-03-03 20:22:19,0
Markhor,5,good,2026-03-03 20:08:21,0
sup er,5,good,2026-03-03 19:59:37,0
Ravi Anmol,4,super and fast,2026-03-03 19:57:38,0
Md Sagor khan,5,good,2026-03-03 19:50:33,0
fofo alhamdan,5,i love noon products 😍,2026-03-03 19:36:54,0
Karim Ulla,3,ok,2026-03-03 19:13:24,0
Ahmad Raza,1,noon is very good,2026-03-03 19:09:03,0
Zafar,4,good,2026-03-03 18:38:28,0
Rana Ahmed,5,this app amazing 🥰,2026-03-03 18:35:37,0
Basel Ali,5,👍,2026-03-03 18:32:32,0
Safiullah Ansari,3,good,2026-03-03 18:24:59,0
samo syrian,5,nice offers 👍,2026-03-03 18:13:45,0
iren evangelista ilao,5,this easy apps to order for just a minute you will get it.,2026-03-03 17:38:59,0
Sheikh Shahab,2,nothing not special,2026-03-03 17:24:41,0
Katherine,5,Happy,2026-03-03 16:55:56,0
Janib Khan,4,thank..,2026-03-03 16:44:19,0
SALIMKHAN A,4,good,2026-03-03 16:26:39,0
Khaled Ismael,5,الابليكيشن جميل وسهل والاسعار والعروض وخاصة التوصيل والتغليف ممتازة أحسن من أمازون,2026-03-03 15:28:52,0
Sharafudheen Tdy,5,good,2026-03-03 15:27:38,0
Mohamed Syed Abdul Rahman Alfasi Mohamed Osman,3,Express but will be delivered on Tomorrow,2026-03-03 15:15:19,0
Prakash H,4,good offer,2026-03-03 14:51:36,0
Vivek Rajendran,5,Great going,2026-03-03 14:18:27,0
Romankhan Romankhan,5,plz add AL Azmin perfume. they have very good and long lasting perfumes. new gold souk,2026-03-03 13:47:44,0
mohd vasi,1,good,2026-03-03 13:45:30,0
Shadow,5,excellent service,2026-03-03 13:18:51,0
Sam Sharbali,2,orders get cancelled without prior notice and without any justification,2026-03-03 13:13:57,0
Yazeed Ahmed,5,حلوووووووووووو اوييييييييي,2026-03-03 13:04:49,0
